                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4723,                 2.7977,                  1.399,                0.68331,                0.18462,                0.14558,                0.11975,                0.70217,                 2.6282,                0.94933,                0.00018,                0.00018,                0.00018
                      2,                0.99485,                  1.297,                 1.0923,                0.32105,                0.18627,                0.15727,                0.12404,                0.72825,                 1.8107,                0.95429,             0.00035169,             0.00035169,             0.00035169
                      3,                0.98601,                 1.1321,                 1.0888,                0.29627,                0.28667,                0.17107,                 0.1335,                 0.7651,                 1.7243,                0.99884,             0.00050456,             0.00050456,             0.00050456
                      4,                0.97041,                 1.1554,                 1.0971,                0.14817,                0.40885,                0.19051,                0.14424,                 0.7839,                 1.7238,                 1.0219,             0.00063863,             0.00063863,             0.00063863
                      5,                0.95742,                 1.1132,                 1.0907,                0.36617,                0.15835,                0.16758,                0.09263,                0.84802,                 1.5819,                 1.0706,             0.00075388,             0.00075388,             0.00075388
                      6,                0.96473,                 1.0931,                 1.0884,                0.13314,                0.26333,                0.18838,                0.13088,                0.82152,                 1.3501,                 1.0588,              0.0007525,              0.0007525,              0.0007525
                      7,                0.93683,                 1.0065,                 1.0821,                0.41129,                0.26834,                0.23877,                 0.1751,                0.75271,                 1.2523,                 1.0117,               0.000703,               0.000703,               0.000703
                      8,                0.97831,                   1.06,                 1.1155,                0.20338,                0.41352,                0.25429,                0.18401,                0.76003,                  1.347,                 1.0202,              0.0006535,              0.0006535,              0.0006535
                      9,                0.91268,                0.94221,                  1.079,                0.22959,                0.26607,                0.23789,                0.19796,                0.66197,                 1.1285,                0.97669,               0.000604,               0.000604,               0.000604
                     10,                0.90811,                0.95055,                 1.0751,                0.44026,                 0.3276,                0.27333,                0.20963,                  0.704,                   1.24,                0.98937,              0.0005545,              0.0005545,              0.0005545
                     11,                0.88041,                0.88041,                 1.0671,                0.75176,                0.25125,                0.29487,                0.23789,                0.70227,                0.99855,                0.97863,               0.000505,               0.000505,               0.000505
                     12,                0.90732,                0.87741,                 1.0821,                 0.4638,                0.29008,                0.28508,                0.21694,                 0.6791,                 1.0761,                0.98388,              0.0004555,              0.0004555,              0.0004555
                     13,                0.85613,                0.80932,                 1.0701,                0.25836,                0.42079,                0.31157,                0.25432,                0.66773,                 1.0965,                0.97935,               0.000406,               0.000406,               0.000406
                     14,                0.86244,                0.79958,                 1.0591,                0.42826,                0.46075,                0.32535,                0.26353,                 0.6544,                0.87307,                0.98249,              0.0003565,              0.0003565,              0.0003565
                     15,                 0.8327,                0.75513,                 1.0425,                0.50397,                0.32663,                0.31521,                0.26028,                0.62145,                0.90678,                0.95221,               0.000307,               0.000307,               0.000307
                     16,                0.81592,                0.73439,                  1.038,                0.53964,                   0.32,                0.35658,                0.28776,                0.68022,                0.87516,                  0.982,              0.0002575,              0.0002575,              0.0002575
                     17,                0.79541,                0.70334,                 1.0299,                 0.2687,                0.46962,                0.33398,                0.27637,                0.61806,                 0.8443,                0.95899,               0.000208,               0.000208,               0.000208
                     18,                0.79377,                0.66729,                 1.0317,                0.29811,                0.37648,                0.33431,                 0.2792,                0.61885,                0.89861,                0.95874,              0.0001585,              0.0001585,              0.0001585
                     19,                0.77724,                0.63541,                 1.0205,                0.34899,                0.37597,                0.37336,                0.29811,                0.61721,                0.79789,                0.95883,               0.000109,               0.000109,               0.000109
                     20,                0.75373,                0.59268,                 1.0054,                0.30181,                0.45232,                0.35904,                0.29063,                0.58994,                0.78406,                0.94834,               5.95e-05,               5.95e-05,               5.95e-05
